S:NO,Comment
1053,"<a href=""https://youtu.be/lw1iK4NjukI"">https://youtu.be/lw1iK4NjukI</a>"
1054,"Super, colors full❤"
1055,Please can you show the written recipe (not the video)  Thanks
1056,omg so yummy😊😊
1057,What other oil can I substitute mustard oil for?
1058,"सर जी, सरसों तेल की तासीर कडवी होती हैं क्या?"
1059,I&#39;d like to make this recipe but those condiments aren&#39;t available in my country :(
1060,Chicken masala yummy❤❤❤
1061,Nice
1062,😮😮😮
1063,list of recipe pls and procedure
1064,"Hi, what is curd? Is it plain yoghurt?"
1065,Don&#39;t use  metal on aluminium pans could see you scratching the pan so goes into the food
1066,If you cut the stirring part alone this video can be saved by 4 minutes. No one have that time to see the stirring alone
1067,Nice❤❤❤❤❤
1068,Wow
1069,Thank you for sharing your delicious curry with us.  Looks so delicious!
1070,Mustard oil?  Who has mustard oil?
1071,People like me who have stomach problems eating that kind😢. Look delicious but stomach won&#39;t allow
1072,Tooooo much over masala😢
1073,Please use wooden spoon it&#39;s more healthy
1074,Delicious
1075,You have very professional cooking skills.
1076,Im srilanka but i like indiyan foods bicors you foods same our foods my fawarit indiyan achchaar mango and lemon plze give recipi
1077,Oh yammy❤
1078,Looks very interesting. Must try and enjoy . Thank-you.
1079,My ex boyfriend cooked it for me before it was so good 😭 I really miss this food he&#39;s already in india now and I&#39;ve been craving for so long i dunno how to cook😭
1080,Where is Sauf powder?
1081,Can we do mutton with same recipe?
1082,Do you think it helps to use a metal pan rather than a  non stick pan?
1083,This is exactly how I love my curry and not stuffed full of onions and peppers as restaurants mainly serve. <br>One question: is curd the same as plain yoghurt please?<br>I think this is all about patience and cooking for quite some time to release the oils and flavours.
1084,MashaAllah ❤ looks very delicious and Nice recipe. I will try to cook as per this recipe. Thanks ❤
1085,देख लो... कही कुछ बच तो नही गया न डालने को....... 👎👎👎 chicken मे ghee दही और दूध भी....... नर्क मे भी जगह नही मिलने वाली 😡😡😡😡
1086,It&#39;s looks so delicious 😋😋
1087,Goodbye to calories😅
1088,I&#39;m New subscriber
1089,Waoo Soo yummy 🤤
1090,Welcome to my channel subscribe like 🙏
1091,Look delicious! Will try this recipe. But this is too much for 2 people. And with the addition of curd and milk how long does it keep in the fridge? Thanks!
1092,Looks good 👍🏻
1093,How do u make mustard oil. Pls
1094,My most favorite Indian food. Healthy n full of different spices.
1095,This recipe super taste
1096,Looks good but if u have a nonstick then not recommended the choice of spatula.
1097,mere ghar par  same aise hi banta hai chicken curry
1098,This is 👌👌👌
1099,Yummy recipe<br>New friend here
1100,support chai❤❤❤
1101,"<a href=""https://www.youtube.com/@enjamul5497"">https://www.youtube.com/@enjamul5497</a>"
1102,Itna khatarnak chammach lia hhy brtan pr nishan bn gae very cruel
1103,Looks so delicious 😋😋😋😋
1104,What is that CURD?
1105,"Made this today, added potato along because my family needs potato in every chicken curry🤣turned out very good, takes a lot time but worth it"
1106,Ma sha Allah looks delicious 😋 😍 ❤❤❤❤❤❤❤
1107,سمک یبی الفیل
1108,Milk normal milk r coconut milk ah?
1109,"<a href=""https://youtu.be/vHtn9LTeciw"">https://youtu.be/vHtn9LTeciw</a> egg curry recipe"
1110,I’m Kashmiri and there’s no such cuisine in Kashmir
1111,Looks so delicious
1112,Me too i love Indian and Arabic foods. Biryani is my favorite.
1113,Is that coconut milk or real milk?
1114,"It&#39;s a very nice recipe, good work ,"
1115,What is curd
1116,What milk is that?
1117,What is the dish...seemed like more spices than the amount of chicken....
1118,Very yummy
1119,Looks yummy ❤
1120,Milk? Or coconut milk?
1121,Another WAY of cooking Chicken awesome dish recipe thanks for sharing this vlog
1122,Maa shaa Allaah tabaaraka llaah. I have just watched this wonderful video and you did a good job. Keep going. 💯👍💕💕
1123,Can i request pls write the ings.. in the description box.. plsssss new subscriber here..
1124,Best recipe
1125,"This looks very yummy, delicious i am pretty sure. ❤❤❤"
1126,Too rich curry .
1127,Roti ke sath ghram ghram maja aa jayega yr 😋😋
1128,What’s the best substitute for curd?
1129,Where’s the ingredients listed?
1130,That’s too much frying Total Unhealthy food
1131,Kya milk ki jagah kuch aur nahi dal sakta
1132,Will definitely try this. 💞
1133,I wonder where this dish is made coz it isn&#39;t Kashmiri style 🤡
1134,Is is possible clicking in open Induction oven???
1135,Looking Delicious. I must try this at home. Thanks for this video
1136,Yummy 😋
1137,Curd as in plain yogurt ?
1138,Look 🤤 yummy 🤩
1139,I love you Honey.
1140,What is curd please
1141,can i use ghee to fry the chicken?
1142,Just tried this. I love hot strong curries but there was way too many spices. I was sceptical beforehand but followed the plan. Are you sure you have written it correct? Not put tbsp instead of tsp? The wife couldnt eat it. I am used to phals and vindaloos and I struggled.
1143,Can I use regular plain yogurt instead of curd I can’t find it anywhere.
1144,I tried this recipe with chapathi. it tasted so good. I didn’t add milk and marinated less than 1 hour still it was tasty.
1145,I tried this recipe...and it came very Tasty 😋😋
1146,Is very delicious 😋
1147,Raw milk ah ??
1148,Please add the recipe 🙏
1149,So delicious 😋
1150,Can you use coconut milk instead of milk?
1151,Milk should be fresh or boiled one.??
1152,🇲🇾✌️ sedap....👍👍👍👍👍👍
1153,Superb recipe! Will try this week. Thanks for sharing. God bless you and family!
1154,I love food from every Culture 🖤🖤🖤🖤
1155,I love chicken curry 🤩🥰
1156,Jus wanted to know whether u used raw milk or boiled milk ....
1157,"Filipino here. Liked Indian foods too. <br>I noticed turmeric, cumin, chili and onion are the core ingredients of most Indian foods. Followed by coriander, cardamom, black peppers. <br>The other spices I haven&#39;t distinctly encountered or maybe I have unknowingly tasted.  <br>I liked curries, masala, samosa, lamb and chicken biryani(moderately spicy though, not too much). Most I tried are southern Indian foods kerala, I think. I worked in KSA before, where I had an Indian friend who gave me tips what restaurants and where to eat. MissIng these foods though."
1158,Super. Thank you.
1159,Awesome recipe
1160,Awesome for beginners. Turned out real good ✨️
1161,Milk saetha kettupogatha
1162,Beautiful looking curry and good video but it could be so much better if you was to word what each Spice brings to the curry!
1163,னனனனரரரரக்ஷறற
1164,I&#39;ve tried it and dang! It was good. Thanks 🙏
1165,Zabrdast recipe thanks for sharing dear ❤️
1166,OMG amazing looks so delicious 🤤💕
1167,Can I use vegetable cream &amp; Amul milk??? Please reply 🙏🙏🙏I want to know please 😭😭😭
1168,Can i share recipes on my channel. Pl.convey
1169,I tried this recipe today and it turned out The Best!!!❤️ Thanks for the recipe!
1170,What would be a UK equivalent to curd?
1171,I&#39;m making this curry at home for my family right now and today is Sunday so this is special dish to me for today😋😋😋
1172,I see no bay leaves in it?
1173,This looks soo yummy im hungry again
1174,Can&#39;t wait to try this .... tomorrows dinner 🤤
1175,"mistake: using milk, use water instead of milk"
1176,Very nice 🥰👍<br>we&#39;ve never seen anything like this who created he felt very cool i liked it a lot thank you to give us all 🙏💞
1177,I dont eat meat.but i love to cook meat for my family.i made it last sunday.and everybody loved it.superb... very easy receipe.thanks dear
1178,"This is the best Indian chicken curry I have ever made or eaten… the hype is real. It’s clear why this video has almost 6 million views. It takes a little longer than most other recipes but the extra time and patience is rewarded by remarkable perfect layers of flavour. Often these types of recipes leave one feeling like “It needs more salt, or less garam masala, or some modification to the original recipe.” This doesn’t. Make it as is and you will be rewarded with the most perfect and delicious flavours. Thank you!"
1179,Looks delicious 😋 😍 👌 😜
1180,What milk did you use  😳 how much you are stirring this curry
1181,"Looks really good. Like the ingredients added, but milk? I&#39;ve never added milk to curries, just curd."
1182,Chicken without Chicken Masala. Interesting.
1183,Best thing about this recipe is patience 😎
1184,Hi..How to cook mutton payya Pakistani style
1185,So nice
1186,Looks delicious.
1187,"Sry this chicken effect your health,"
1188,"Simple wok awesome taste ,"
1189,EXCELLENT KEEP IT GOING
1190,Ware.good.tanksbroter.👌🏻👋
1191,Cow Milk?
1192,👍👍👍👍👍👍🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸👍👍👍👍👍👍🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰👍👍👍👍😻😻😻😻👏👏👏👏
1193,Slow recipe
1194,Hlo I&#39;m very happy 😊 mujhe apka channel mil gya actually mere phone m kuch problem ho gai thi to sare channel unsubscribe ho gye m bahut dino se apka channel search kr rhi thi but ab mil gya 😊😊
1195,Itni mirch<br>Maaroge kya
1196,assalam o alaikum ma sha Allah very nice recipie stay blessed dear stay connected
1197,Kashmiris don&#39;t use Garlic and hella lot of spices
1198,Superb recipe ❣️ 👌🏻 👌🏻 😋😋😋😋🥰🥰🥰
1199,chicken me doodh daalte hai kya
1200,Wow nice 👍
1201,I have tried this today very tasty 😋 😍 😊 😜 ☺
1202,Today I m trying ur recipe😍
1203,I&#39;m sorry the moment he put the milk<br>I choke😅<br>Mouth wondering nonetheless I&#39;m really how it will taste
1204,Mashallah so mouthwatering recipe 😋thanks for sharing 👌👌❤️🌺🤝
1205,"I made this chicken curry for today&#39;s lunch , it was so delicious,  while eating husband and I were saying toaste like a restaurant dish which makes you say wow . Thank you for the recipe."
1206,Amazing taste I cooked it all were licking their hands after eating 👨‍🍳🤤😋
1207,Aapki video bahut hi jyada achhi hoti h isliye mene socha apka video dal kr apne subscriber bhi bdwa lu
1208,Aage se esa kaam nhi krunga
1209,Or is Karan mere YouTube channel pr copyright claim dikha rha h sorry sir aap help kijiye use hatane ka
1210,Hello sir mene aapke channel se video download krke or use edit krke apne channel pr upload kr diya uske liye sorry sir 🙏  mene abhi abhi kuch dino se hi video upload krna suru kiya h mujhe malum nhi h jyada subscriber lane k liye kya krna pdta h isliye apka video upload krdiye
1211,"Chiken masala is a best food,so tasty but I never try to cooking it before,hmm..maybe after sometimes I will try your recipe,I love it"
1212,Plz make a voice video
1213,"<a href=""https://youtu.be/xJiyNKg_CmM"">https://youtu.be/xJiyNKg_CmM</a> hi dosto is also chicken recipe pls try"
1214,Love it
1215,"Wonderful recipe. Came out really well. Thank you for sharing. What i liked was you don&#39;t speak. Your cooking speaks for itself, unlike many others who give big talks only."
1216,Thanks 🙏 excellent 😊
1217,Ur sukkha chicken recipes share kre plssss
1218,Dear homemade grm mashale share kre plssssss thank u  for nice chicken video.
1219,Can anyone please help.whats curd and where can I buy it x
1220,Is t chilly paste done from the whole red chilly ? definitely gonna try this recipe  looks vy yum
1221,"Mouth watering,delicious curry."
1222,Wow
1223,Can I know what milk is that
1224,Ap k style se recpi mahine ya hafte me ek do bar to pakka usey babaseer ya cansar ho jaega mirch Dali to babaseer hoga or agar degi mirch Dali ziyada to cansar qki us me bhi  colour use hota h 🤪
1225,😋😋😋 Yummy
1226,How do I get recipe looks amazing
1227,"<a href=""https://youtu.be/y5MDxAZ29J4"">https://youtu.be/y5MDxAZ29J4</a>"
1228,Today I tried this recipe ..it was very tasty
1229,"Very nice, very spicy 🥵"
1230,Can someone tell me why this recipe calls for milk instead of heavy cream?
1231,I love Indian food.always very sweet
1232,Kashmiri dishes normally do not have Tomato!
1233,Main ne ghr me try kiya sbko bhut psnd aya thnku😊
1234,"You cleaning your ass with left hand and you marinate with same hands, of courier in videos please act and be hygiene"
1235,A list of ingredients would have been helpful.
1236,Boil milk aur raw milk?
1237,👌👌
1238,Super easy and looking so delicious 😋🤤
1239,spectacular
1240,Mouth watering 🤤🤤🤤
1241,Mashllah delicious 🤤😋😋😋
1242,Is this the same as tiki masala recipe
1243,Looks delicious
1244,I love Indian Food
1245,Can you used boiled milk?
1246,Chiiiii chicken saaf bhi nahi hoti
1247,Today I made this my husband was so happy really it&#39;s a very tasty and lovely recipe thank u<br>And one more things to add i made it with normal cooking oil what we use in home
1248,Plz yeh bata dein mernation ker kay frezer kerna ha ya nichy fridge mein rakna ha yah bahir
1249,Today I tried this recipe it was delicious..like restaurant style.. thanks for sharing 😋👏
1250,Is this raw milk?
1251,Can I skip the milk????
1252,I like this recipe.  I will try in my kitchen
1253,Can we use another oil instead of mustard oil?
1254,Made this for my Sunday dinner last week boy was it delicious. Thanks for posting.  Looking forward to more delicious recipe from you.😋😋😋
1255,I just enjoyed with my soon to be husband
1256,Supar
1257,Wow I think it&#39;s perfect taste.
1258,ممكن شرح الطريقه بالعربي وماهي المكونات
1259,নাইস
1260,Over cooking
1261,Yummm
1262,Wow so yummy
1263,Masala itna dark kerdeye aap acidity  k zayda chances hai is se to.
1264,"<a href=""https://youtube.com/channel/UCL6FuzvUMMEGObSRlgZI7Aw"">https://youtube.com/channel/UCL6FuzvUMMEGObSRlgZI7Aw</a>"
1265,Don&#39;t use mustard oil for curry use sunflower oil instead of that it will taste good
1266,Super it looks nice must tast also good. Thank u for sharing.
1267,Woww super 😙😍🤤🤤😋😋
1268,"<a href=""https://youtu.be/a1O-5qc1j48"">https://youtu.be/a1O-5qc1j48</a>"
1269,"When I added the curd, my whole mixture turned yellow."
1270,"<a href=""https://youtu.be/OHQLH5hbvdE"">https://youtu.be/OHQLH5hbvdE</a>"
1271,Very nice rcp I ll also try this…ma’am I hv also made chicken gravy do visit my channel…Thank u
1272,Hey! Would love to know which part of this chicken curry is Kashmiri?
1273,Wow nice 👍👍👍
1274,Nice color
1275,Yummy
1276,Bhai ye galat baat hai milk kaun dalta hai yaar
1277,Milk konsa lena he.coconut milk ya jo regular chai me use karte he wo milk.?
1278,Please try it this recipe is amazing. The taste is awesome.
1279,"<a href=""https://youtu.be/bGMvoK58z14"">https://youtu.be/bGMvoK58z14</a>"
1280,Milk with chicken is not good for health
1281,Delicious recipe 👌
1282,Please change background music don&#39;t like the kind of shout out noise and music quite annoying
1283,😋😋😋😋😋
1284,Mashaallah
1285,Delicious recipe 👌👌👌👌Great work.<br>Please support our channel.
1286,"<a href=""https://youtube.com/channel/UCiC_Rp3bNxmaZ2-kH2e9maw"">https://youtube.com/channel/UCiC_Rp3bNxmaZ2-kH2e9maw</a>"
1287,I made this... Very tasty... Thank u for lovely recipe....
1288,Abe esme gobar v daal deta .
1289,"Wow , it was an excellent Indian recipe and of course I am going to prepare , I would like to work in an Indian restaurant to learn how to prepare the dishes and this recipe along with the music was just perfect .<br>Thank you for sharing this recipe. Greets from 🇺🇸"
1290,सब सही है लेकिन दूध नहीं डालना था।
1291,"This is very delicious recipe, keep on sharing"
1292,Lajawab recipe
1293,Bull shitt when u putting up all the spices u wear gloves 🧤 and when u mixing spices u use ur left hand with no gloves on and the same hand u use to clean shitt common ....and then again u use gloves 🧤 to put chicken in pan .use some brain bro🤣🤣🤣🤣
1294,Very nice recipe
1295,Magar flame high rakhu ya low
1296,Delicious recipe. Stay connect
1297,Delicious recipe. Thankyou verymuch for sharing. <br>Can we do this with mutton
1298,Yummy
1299,I love this recipe and cooked it so many times xx
1300,Maja hai mast
1301,So nice i also going to cook this chicken masala i am from srilanka
1302,Woooow
1303,"Very tasty and spicy as well 😋 tomorrow I  will cook with same method, I hope it would be better than previous cooking method"
1304,Bol ne me kuku6 jajtahe
1305,"baap re baap...kitna oil aur masala khata hei....just boil the chicken with one tomato, one potato, some green chilly, garlic n ginger, half onion n add little pure mustard oil,little haldi n chilly powder for colour, salt as per the taste...thtz it😄😄😄in place of tomato, we can use/add bamboo shoot also...North-East foods😄😄😄"
1306,This Kashmiri chicken masala is looking so good.<br>It must be so delicious and flavorful!<br>Big like for more delicious cooking!
1307,Thank you for this awesome recipe.  I tried twice now and it tasted really good
1308,Hi
1309,Gloves later motherchood kya matlab
1310,Imagine she just got out from the toilet without washing her ass and hands n marinating the chicken pieces with turmeric and chilli powder😁<br>Welcome to India.<br>Our food taste good coz we add our dirty ass in it🙏🙏
1311,My boss love it thanks
1312,Why u add milk its optional or not ??
1313,"Good preparation , great recipe of chicken thanks for your video 👍🙏"
1314,"I have seen &amp; observed your videos you have been using steel spatula in aluminium vessels all the time scooping,will it not be good to use a wooden one instead."
1315,How can Kashmiri recipe be made without dried ginger and saunf
1316,"Hiiii new subscriber here... <a href=""http://www.youtube.com/results?search_query=%23jvibeskitchen"">#jvibeskitchen</a> .... thanks for sharing this recipe... i will definitely try hope to stay connected...."
1317,"Thanks for sharing this delicious recipe. Can I ask you, the milk which u used is the one which we use for tes or is it coconut milk?"
1318,Yummy
1319,This cocnut milk or normal
1320,Awesome delicious
1321,I am cooking 🧑‍🍳 that Curry tonight again and can watch how you cook every day and delicious already just thinking 🤔 and watching you 😋😋😋
1322,Looks delicious recipe 😋😋 like done friend stay connected friend 🙏
1323,"<a href=""https://youtu.be/JvfzCW_kZRs"">https://youtu.be/JvfzCW_kZRs</a>"
1324,You are adding boil milk
1325,There is no way that’s 4 onions and 5 tomatoes.
1326,I m a little reluctant to add milk in chicken curry.<br>Shall try this recipe tomorrow...minus the milk
1327,Thank you 💓 soo much🤞
1328,Me gusta la receta gracias por compartirla la boy a preparar saludos y abrazos desde México.
1329,Hi is there a written recipe please
1330,"That looks fantastic and I&#39;m sure it tastes great, the question I have is that I see you using a metal spatula in an aluminium pot is that advisable ?"
1331,Nice👌👌❤️
1332,I made it but it turned out normal not very tasty😭
1333,Tasty😋
1334,"[15/06, 8:40 am] saroj sharma: <a href=""https://youtu.be/1N4B7zzHRag"">https://youtu.be/1N4B7zzHRag</a><br>[04/07, 11:52 am] saroj sharma: Please mere channel &quot;kitchen kunj&quot;ko like share and subscribe karke mera support kare🙏😊"
1335,Very delicious recipes thank you for sharing new friend welcome 💯👍🏻
1336,Yummy😋
1337,"केक बनाने का ऐसा तरीका जो बिल्कुल आसान है कोई भी बना सकता है घर पर<br><a href=""https://youtu.be/tMrBiSAN2fM"">https://youtu.be/tMrBiSAN2fM</a>"
1338,"Please mam thodi support<br><a href=""https://youtu.be/tMrBiSAN2fM"">https://youtu.be/tMrBiSAN2fM</a>"
1339,"<a href=""https://youtu.be/tMrBiSAN2fM"">https://youtu.be/tMrBiSAN2fM</a>"
1340,"Mam, मैं आपकी सारी वीडियो देखती हूं आपकी रेसिपी की वीडियो सारी बहुत अच्छी लगती हैं भगवान करे आपका चैनल दिन रात तरक्की करें मैम मेरा भी एक यूट्यूब चैनल है जिसका नाम Cooking with veena है प्लीज मेरे चैनल को सपोर्ट कर दीजिए ताकि मेरा चैनल भी थोड़ा चल सके मैंने अभी ही शुरुआत की है कृपया मुझे सपोर्ट करो प्लीज प्लीज मैम प्लीज प्लीज प्लीज प्लीज प्लीज<br><a href=""https://youtu.be/tMrBiSAN2fM"">https://youtu.be/tMrBiSAN2fM</a>"
1341,Ppp
1342,Lovely Looks exciting will make on Saturday.
1343,Very nice yummy
1344,But you have to use wood spoon
1345,"I Love indian food i dont care the hell spicy,and yogurt with cocumber😋😋😋"
1346,I like ur chicken masala looks so delicious
1347,"Kolhapuri chicken handi recipe <br><a href=""https://youtu.be/diO7P-_wF-U"">https://youtu.be/diO7P-_wF-U</a>"
1348,"I would love to have a full recipe with ingredients, Is that listed somewhere"
1349,Instead of mustard oil shall I use  sunflower oil to cook dis
1350,Very amazing💕😍 💯👌
1351,Y do u use mustard oil always
1352,Thanks
1353,நல்ல இருக்குது நன்றி 🙏🏼🙏🏻
1354,I have to try this recipe.
1355,Please share chicken biryani recipe.
1356,how to make garam masala powder
1357,Coconut milk or Nandini milk
1358,"<a href=""https://youtu.be/lZoUKTeS-7Q"">https://youtu.be/lZoUKTeS-7Q</a>"
1359,"Ok,❤👌"
1360,Masha Allah so good and tasty chicken 🌹💖👍
1361,Can you please tell us receipe of korma powder. Also please add the list of ingredients
1362,"Namaste, what kind of milk do you use?"
1363,The most delicious curry I have ever made. Thank you. All ingredients available in local supermarket and the method clearly demonstrated. I can’t wait to make it again.
1364,Super
1365,Super
1366,It&#39;s too yummy... I tried it today... It&#39;s very tasty
1367,This chicken masala curry looks so delicious! I would love to try it. 💖
1368,"It s probably very good but where   i will found all those Thinks for this meal ??????  😟, Tomislav, Zagreb , Croatia ."
1369,This dish looks fabulous it’s made with so much love and attention to detail thank you will definitely try it 👍🌹
1370,"<a href=""https://youtu.be/f5r3e_aSzJc"">https://youtu.be/f5r3e_aSzJc</a>"
1371,Why was sugar added to mustard oil??
1372,Nice 👌👌👌
1373,Beautiful sharing 🎉❤️❤️❤️
1374,"Mouthwatering <br><a href=""https://youtu.be/RjAS1I3_7ak"">https://youtu.be/RjAS1I3_7ak</a>"
1375,Yummy yummy yummy
1376,ME FROM TANZANIA..  i somewhere on each Sunday i use to go out.. there&#39;s a chef a Indian person use to cook for us a sea food.. ooh its amazing the way its taste i like Prons
1377,Thank you so much my husband loved your recipe very much he gave a good compliments
1378,Am from Trinidad and used to live with my in-laws which was Indian love their food thanks for sharing
1379,I can perceive the aroma just from watching this video
1380,wow Yummy
1381,"I don&#39;t like milk, curd and ghee .....can I skip this .,,,,??"
1382,Not a healthy dish
1383,Where is kasthuri methi???
1384,"das da auch Milch ran kommt, wusste ich nicht, aber es schaut verdammt gut aus"
1385,"I&#39;ve make it last week!! Soooooooo Yummy, but I put only 1 Tbs of red chilli to reduce the heat! Thanks for the recipe!"
1386,Am going to try making your recipe hopefully it comes out looking as good as yours.
1387,It&#39;s a mouth watering recipe but can I use sunflower oil instead of mustard oil I&#39;m from Sri Lanka &amp; I never seen here. Thanks for the fabulous recipe 👌
1388,Zabardast Zabardast
1389,Que delicia ❤️ Gracias por la receta.
1390,INSHA ALLAH I WILL MAKE SOON
1391,Yummie😋
1392,Indian and pakistani have lot to admire but they use lot of oil and that puts off many people becouse of healthwise.
1393,what type of milk you added in this recipe .is it coconut milk or ?
1394,Super
1395,Fuck its 12:30 am and im hungry.
1396,Super and thank you so much.. I&#39;m also try... Super testing 😋😋😍
1397,Nice 👍
1398,"<a href=""https://youtu.be/znCRJaf_I_Y"">https://youtu.be/znCRJaf_I_Y</a>"
1399,Looks good.... Next time use a wooden spoon
1400,Any Other substitute for milk
1401,Pateeli Kay wall per ittna Sara masala Laga hoa he
1402,Bahi jitne masale ki quantity Aapne use ki hai tum toh jarur bawaseer dogay usse Jo ye khayega
1403,Wow!its look so yummy
1404,"<a href=""https://www.youtube.com/watch?v=-FEt5loU4sc"">https://www.youtube.com/watch?v=-FEt5loU4sc</a>"
1405,Milk in chkn 🙄
1406,It really comes with the best taste. Please try this and you will love this. Best chicken I ever tried in my life.<br><br>I am going to cook this again for guests as well and let you all know how they loved this.<br><br>Thank you for sharing this
1407,What milk plz tel
1408,This is almost identical to the way to make Tsebhi Dorho/Doro Watt from Eritrea and Ethiopia.
1409,"Chiken recipe restaurant style <a href=""https://youtu.be/Jpoi74UDEfg"">https://youtu.be/Jpoi74UDEfg</a>"
1410,The milk should be raw or it should be use  the boiled 1...
1411,Can coconut milk be used instead of milk???🤔🤔
1412,Cow milk?
1413,"Cut Pieces clothes:<br><a href=""https://youtu.be/Nuhwk9My2RI"">https://youtu.be/Nuhwk9My2RI</a>"
1414,"Love it, watching from the philippines"
1415,Wow my favourite menu
1416,Too much Masala powder
1417,Recently addicted to this recipe. So so good. Very nice
1418,Tambaku thuk ke video banaya karo.
1419,Fabtastic!
1420,It&#39;s mouth watering 🤤🥰☺️
1421,the curry looks so delicious .
1422,RECIPE PLEASE!!!
1423,I REALLY ENJOYED THE RECIPE. IF I MAY SUGGEST KINDLY USE WOODEN OR SILCON SPATULA TO STIR. METALLIC ONE TEND TO SCRAP THE PORT AND THE METALLIC SHAVINGS MIGHT END UP IN YOU FOOD
1424,"Milk is not good to eat with chiken ghee and curd ,it contain amino acid so I don&#39;t try"
1425,How did come about all these good looking recipe?
1426,Good one. Let me try. Thanks
1427,Im a South African 😜 but I really love Indian meals
1428,Thabkyou bhai hamara night ka lunch kharabkrnekeliye
1429,"DISCLAIMER: eating this shall require you to go to the toilet within 8hrs, anything more than will cause severe harm to the people around you."
1430,👌👌👌
1431,is there an alternative to using mustard oil ? would rapeseed oil be ok ?
1432,"<a href=""https://youtu.be/8SNaITaJuDw"">https://youtu.be/8SNaITaJuDw</a>"
1433,Amazing recipe i tried this recipe today and my family loved it thank you for sharing
1434,Oh yes !!!!!!!!!
1435,Looks very tempting and delicious.<br>I&#39;m new subscribed.
1436,"Aapka same to same banaya hai, par taste jyada khas nahi laga 😁"
1437,Just awesome looks so much delicious 🤤
1438,I tried this recipe it turned out so delicious 😋 than expected 👌 everyone liked at my home.
1439,😋😋😋
1440,"Salam <a href=""http://aleykum.it/"">aleykum.It</a> looks so tasty.😋😋😋😋😋I have to find the spices"
1441,"I have made this recipe for my guests today .Alhamdulillah it is looking amazing with all the masalas and tastes delicious , Hope my guest love it too.Thank you for this easy recipe ;)😉"
1442,Epic
1443,Just like my moms recipie
1444,I made this recipe today. It is very easy to make because of the way you have presented it. The only modification l made was that l added some green chillies aswell as the coriander for garnishing as l like my curry hot. The yogurt and milk gave a lovely creamy gravy. Thank you for uploading this fantastic recipe.  5 stars 🌟
1445,The best chicken 🍗 greavy arumai excellent vera level  tasty  un tempting  nice sharing👌👌👌👌👌
1446,That metal scratching metal as you mix is not healthy
1447,Super Thanks
1448,amazing respe
1449,Best I’ve seen yeah
1450,"Amazing recipe it looks really delicious, tasty and tempting thanks for sharing 👍❤💚💚💚💯💯💯"
1451,Kukurer gu lagche .
1452,Hi it&#39;s Amazing chicken curry it&#39;s Delicious thank you so much
1453,Allahamdullillah best chef.
1454,Mashaallah
1455,"I tried this recipe and it was delicious. thanks The kitchen <a href=""about:invalid#zCSafez""></a>"
1456,Looks Yummy Delicious 😋<br>Thanks for sharing 👍👌
1457,Hi! I do not have mustard oil...can I use olive oil instead? Thanks!
1458,please make sweet recipes also
1459,Why you add the milk..?   Milk is not match with this recipe...!
1460,Don&#39;t use milk in non veg
1461,Looks very tempting and delicious 😋😋
1462,Itna jalwaya masale ko
1463,Thank you 🎀
1464,Thank you 🎀
1465,I follow the same step and did not liked by my dad makes my heart attack now I&#39;m not cook anything 1😔
1466,Looks really delicious 😋😋😋
1467,❤️👌😋😋😋😋❤️
1468,Khon sa milk dal na hai? Coconut milk ya cow milk
1469,"Good presentation. If you can add one glass of coconut cream, then it is more tasty."
1470,I just made this for dinner and it is so good. The only modifications I made were that I used boneless chicken breast and instead of red chili powder I used kashmiri chili powder since it&#39;s less spicy. I followed everything else exactly and it was amazing. I might use less salt in the gravy next time
1471,Yesterday I tried this chicken recipe for dinner it was tooooo good thanks for sharing simple n tasty recipes
1472,Can u use sunflower oil
1473,Wonderful recipe! Thanks for sharing!
1474,"<a href=""https://youtube.com/watch?v=8rxNJwTXvOw&amp;feature=share"">https://youtube.com/watch?v=8rxNJwTXvOw&amp;feature=share</a>"
1475,One of best Chicken curry.. I had ever seen in YouTube..
1476,Very nice 👌👌
1477,Bhai aap log chiken me dahi kyo dalte ho<br>Iske jagah pr kuch aur nahi dal sakte<br>Please tale me
1478,What is mean desi ghee? <br>i&#39;m from indonesia
1479,"Curry looks yummy but cooking in aluminium vessel is not at all a good practice. Aluminium is slow poison, so we need to to get rid of them from our kitchen as soon as possible. Afterall, health is wealth!"
1480,Capsicum chicken curry plssss🙏🏻🙏🏻
1481,অনেক সুন্দর
1482,Masala to much.
1483,Can we add almond milk instead of regular milk as we don’t prefer adding milk with chicken.
1484,Ek no👍 recipe
1485,Very nice  and testy
1486,We hope to write the recipe for the convenience of the viewer
1487,This is mouth watering 😋yummy
1488,Somebody&#39;s about to take longer time in the toilet 😂
1489,"<a href=""https://youtu.be/SNerfZmwbds"">https://youtu.be/SNerfZmwbds</a> দেখুন"
1490,Nice
1491,Very tasty recipe
1492,"This looks to be a very nice recipe and going by experience I am sure this would come out well. Thank you for showing each step so well.<br><br>But I still have a question...what is Kashmiri about this chicken masala? Most chicken masala dishes with tomato gravy are very similar to this, isn&#39;t it?  I am not criticizing, but really would like to understand the difference."
1493,Delicious
1494,Wow looks so delicious 😋 thank you
1495,Testy
1496,Looks so yummy..😋😋😋
1497,Wow excellent beautiful chicken gravy 💯💞👍🎁
1498,Maybe add some brown sugar?
1499,"<a href=""https://youtu.be/83PBceh3AmQ"">https://youtu.be/83PBceh3AmQ</a>"
